ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
26,2/12/2024,2,"No, this video doesn’t show Syrian rebels beheading Bashar al-Assad’s soldier",Vedika Bahl,https://www.france24.com/en/tv-shows/truth-or-fake/20241202-no-this-video-doesn-t-show-syrian-rebels-beheading-bashir-al-assad-s-soldier,2,14,,21,11,170,A video being circulated showing the beheading of a Syrian Army soldier by rebel combatants have been exposed as false. This is an outstanding example of increasing disinformation regarding the conlfict in Syria.,4
27,2/12/2024,2,Georgian opposition leader arrested after another night of pro-EU demonstrations,Carys Garland,https://www.france24.com/en/europe/20241202-georgian-opposition-leader-arrested-after-another-night-of-pro-eu-demonstrations,4,13,71,20,,64,Opposition leader Zurab Japaridze was arrested by Georgian police during the ongoing anti-government protests. 21 police have been injured in a recent crackdown.,4
28,2/12/2024,5,Inside an Aleppo hospital after a deadly Russian military airstrike,Nour Qormosh,https://www.cbc.ca/player/play/video/9.6580036,4,13,71,12;15,1,170,Russian airstrike against the jihadist rebels on a hospital in Aleppo has killed at least 12 and injured 20. Residential areas have been targetted by the Assad regime counter offensive.,4
29,2/12/2024,9,Police intercept more than two tonnes of cocaine in biggest seizure in Australian history,Elfy Scott,https://www.sbs.com.au/news/article/police-intercept-more-than-two-tonnes-of-cocaine-in-biggest-seizure-in-australian-history/joef3lbcu,2,6,70,,,202,"13 people arrested at sea after the AFP seized two tonnes of cocaine worth approximately $760 million. One is allegedly a member of the Comancheros. This was the outcome of Operation Tyrrendor, which has been tracking international trafficking networks.",4
30,2/12/2024,9,Tensions rise after fourth night of protests in Georgia,Sophie Bennett,https://www.sbs.com.au/news/podcast-episode/tensions-rise-after-fourth-night-of-protests-in-georgia/1vn7qyagt,3,20,,14,10,64,"Protests are taking place in at least eight cities across Georgia. 44 people have been hospitalised, primarily due to police brutality. The European parliament refers to the conditions in Georgia as ""worsening democratic crisis.""",4
31,2/12/2024,9,"Air strikes hit northern Syria as government vows to ""crush"" insurgency",Sydney Lang,https://www.sbs.com.au/news/podcast-episode/air-strikes-hit-northern-syria-as-government-vows-to-crush-insurgency/xvyg5a4lv,4,13,71,19,1,170,"As President Bashar al-Assad vows to crush the rebel groups, Russian and Syrian jets are bombing the northern parts of Syrian.",4
32,2/12/2024,9,Georgian opposition leader arrested as protests spread,,https://www.sbs.com.au/news/article/georgian-opposition-leader-arrested-as-protests-spread/konccw1g0,4,13,71,14,,64,"One of the leaders of the oppositional Coalition for Change party, Zurab Japaridze has been arrested by police after leaving a demonstration. Water cannons and tear gas employs to disperse protesters. The US has condemned the excessive force.",4
33,3/12/2024,2,"Georgia police use water cannon, tear gas to disperse pro-EU protesters outside parliament",,https://www.france24.com/en/europe/20241203-georgia-police-use-water-cannon-tear-gas-to-disperse-pro-eu-protesters-outside-parliament,3,20,70,6,10,64,"Protests continue outside Georgia's parliament for a sixth night. The Prime Minister has threatened to unish political protests, who he accuses of instigating violence. 293 have been detained recently, and the interior minister cites 143 injured police.",4
34,3/12/2024,2,'Russia believes it should control Georgia',"Eve Irvine, Selina Sykes, Natasha Lindstaedt",https://www.france24.com/en/video/20241203-russia-believes-georgia-should-be-controlled-by-kremlin,4,13,71,14,,64,"Georgian prime minister has vowed ""no negotiations"" with the protesters. The level of violence perpetrated against the protesters and journalists has shocked the international commuity.",4
35,3/12/2024,2,Georgian police crack down on pro-EU protesters for fifth consecutive night,,https://www.france24.com/en/europe/20241203-georgian-police-crack-down-on-pro-eu-protesters-for-fifth-consecutive-night,3,20,70,14,,64,"The Georgian Interior Ministry has released a statement summarising the political violence emerging from the protests. 224 have been detain on administrative charges, 3 on criminal. 113 police have required medical treatment and 3 were hospitalised.",4
36,3/12/2024,2,'Against will of people': President Yoon's 'miscalculation' in declaring Martial Law 'crossed line',"Robert Parsons, François Picard, Peter Han",https://www.france24.com/en/video/20241203-against-will-of-people-president-yoon-s-miscalculation-in-declaring-martial-law-crossed-line,4,13,71,19,,162,"Inspired by fears of a North-Korean plot to overthrow South Korea, President Yoon Suk Teol declared martial law. He admitted to crossing a line, an act which was ""against will of people"", after outrage prompted the president to cancel the declaration.",4
37,3/12/2024,2,"If HTS were to hold on to Aleppo, 'they would have to find new ways of building new govt structures'","Charli James, Jerome Drevon,",https://www.france24.com/en/video/20241203-if-hts-were-to-hold-on-to-aleppo-they-would-have-to-find-new-ways-of-building-new-govt-structures,1,9,73,19,1;2,170,tar stated there is no military solution to the conflict in syira as the Assad-reigme struggles to respond to the jihadist rebel offensive. The rebels have seized for new towns in north Syria as they advance on Hama city. Iraqi soldiers arrived.,4
38,3/12/2024,2,"Yoon 'created the rhetoric of a national security crisis' in South Korea, analyst says",Sharon Gaffney,https://www.france24.com/en/video/20241203-yoon-created-the-rhetoric-of-a-national-security-crisis-in-south-korea-analyst-says,4,,71,19,,162,"Following an alarming night in which martial law was declared in South Korea and the parliament building was surrounded by troops, President Yoon Suk Yeol lifted the declaration. Academics assert this act will undermine the president's authority.",4
39,3/12/2024,,"Nearly 50,000 displaced as Iran, Turkey, and Russia FM to discuss Syria",Emeral Maxwell,https://www.france24.com/en/video/20241203-nearly-50-000-displaced-as-iran-turkey-and-russia-fm-to-discuss-syria,4,9,71;73,15;19,1,170,"An estimated 50 000 have been displaced by the conflict in Syria as rebls groups, headed by Ha'yat Tahrir al-Sham execute lightning offensives against the Assad regime. Iran and Russia are in discussion regarding the aid they will provid the government.",4
40,3/12/2024,2,Syrian rebels capture four more towns in advance on Hama,,https://www.france24.com/en/middle-east/20241203-syria-insurgents-capture-four-towns-in-push-south-as-government-forces-retake-areas-near-aleppo,1,9,71;73,15;19,1;2,170,"After the capture of Aleppo, the Syrian rebels seized four new towns as they approach the city Hama. The government has reclaimed some lost territory in counter offensives, including the twon Khanaset. Some areas of Syria are faces food shortages.",4
41,3/12/2024,2,"Syrian rebels aiming for 'conservative islamist proto-state', analyst says","Solange Mougin, Sharon Gaffney, Aaron Y. Zelin",https://www.france24.com/en/video/20241203-syrian-rebels-aiming-for-conservative-islamist-proto-state-analyst-says,1,9,73,19,2;7,170,"Ha'yat Tahrir al-Sham forces have reached the entrance to Hama city, initating further displacement. Academic theorises that the rebel groups intent to create a conservative islamist proto-state following the exile of the Assad regime from north Syria.",4
42,3/12/2024,5,Iran-backed militia fighters enter Syria to help government forces fight off rebels,,https://www.cbc.ca/news/world/iran-backed-militia-fighters-enter-syria-to-help-government-forces-fight-off-rebels-1.7398412,4,13,71,15;19,1,170,At least 300 of Iran-backed Iraqi combatants crossed into Syria to bolster the Syrian government's defence. Syrian and Russian warplanes are targetting rebel controlled areas as the Assad regime work to regain lost territory. A displacement camp was hit.,4
43,3/12/2024,9,New Woolworths strike threat as more union members 'put on notice' for picket support,,https://www.sbs.com.au/news/article/new-woolworths-strike-threat-as-more-union-members-put-on-notice-for-picket-support/cm4or63f2,3,,,7,10,9,"Demanding better conditions and pay, Woolworths distribution entre employees are taking industrial action in Victori. Entrance to centre was blocked by protesters. Protests have caused shortages in some areas, and $50 million in lost sales.",4
44,3/12/2024,9,World's highest court hears largest-ever case on climate justice,Sam Dover,https://www.sbs.com.au/news/podcast-episode/worlds-highest-court-hears-largest-ever-case-on-climate-justice/htdhw7aln,,7,,,,123,A climate justice case is unfolding in the International Court of Justice regarding the responsibility of countries in pollution contributions. Vanuata representatives and lawyers criticse Australia's climate agenda.,4
